registration,price,mileage,model_year,version,color,fuel_type,drive_wheels,electric_type,transmission,engine_power,engine_name,body_type,location,url,scrape_date
NCH42T,399900,96340,2021,,Silver,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,340 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/nch42t/,2026-01-13
ZNR03H,626900,10,2026,Ny T6 Plus Dark Nordic Edition,Silver,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,ESKILSTUNA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/znr03h/,2026-01-13
BEY12T,626900,0,2026,Ny T6 Plus Bright Nordic Edition,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,SISJÖN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/bey12t/,2026-01-13
YGJ05K,429900,77100,2023,Recharge T6 Core Edition,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,ESKILSTUNA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/ygj05k/,2026-01-13
GOM29P,659900,16310,2025,T8 Ultra Black Edition | Pannorama | Harman Kardon |,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,456 hk,,,STRÄNGNÄS,https://www.bilia.se/bilar/sok-bil/volvo/xc60/gom29p/,2026-01-13
TRB16M,626900,0,2026,Ny T6 Plus Dark Nordic Edition,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,NACKA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/trb16m/,2026-01-13
HOO821,339900,136010,2022,B5 Bensin Momentum Advanced Edt II | Drag |,Svart,Bensin,Framhjulsdrift,,Automat,250 hk,,,VÄSTERÅS,https://www.bilia.se/bilar/sok-bil/volvo/xc60/hoo821/,2026-01-13
SBL58F,469000,93480,2023,Recharge T6 Ultimate Bright,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,TÄBY,https://www.bilia.se/bilar/sok-bil/volvo/xc60/sbl58f/,2026-01-13
AFS27T,469000,76070,2023,Recharge T6 Plus Bright,Svart,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,SEGELTORP,https://www.bilia.se/bilar/sok-bil/volvo/xc60/afs27t/,2026-01-13
NPX96D,534900,42510,2023,Recharge T8 Ultimate Bright,Grå,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,456 hk,,,NACKA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/npx96d/,2026-01-13
YHN61P,229900,198460,2020,,Svart,Bensin,Framhjulsdrift,,Automat,253 hk,,,TROLLHÄTTAN,https://www.bilia.se/bilar/sok-bil/volvo/xc60/yhn61p/,2026-01-13
EWA81U,644900,0,2026,Ny T6 Plus Dark Nordic Edition,Vit,Bensin+El,Fyrhjulsdrift,Laddhybrid,Automat,350 hk,,,NACKA,https://www.bilia.se/bilar/sok-bil/volvo/xc60/ewa81u/,2026-01-13
