registration,price,mileage,model_year,version,color,fuel_type,drive_wheels,electric_type,transmission,engine_power,body_type,location,url,scrape_date
RPW392,419900,81290,2023,XC60 Recharge T6 Core Edition,Silver Dawn Metallic 735,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,LINDESBERG,https://rejmes.se/bil/volvo-xc60-recharge-t6-core-edition-rpw392,2026-01-13
JAP24P,499900,52520,2024,XC60 Recharge T6 Plus Bright Edition.,Bright Dusk Metallic 736,Hybrid el/bensin,Fyrhjulsdrift,Mildhybrid,Automat,252,5 dörrar Herrgårdsvagn,NORRKÖPING,https://rejmes.se/bil/volvo-xc60-recharge-t6-plus-bright-edition-jap24p,2026-01-13
KHJ79D,254800,204970,2020,XC60 B4 AWD Diesel Momentum Advanced Edt,Bright Silver Met 711,Mildhybrid Diesel,Fyrhjulsdrift,Mildhybrid,Automat,197,5 dörrar Herrgårdsvagn,MJÖLBY,https://rejmes.se/bil/volvo-xc60-b4-awd-diesel-momentum-advanced-edt-khj79d,2026-01-13
CRA06X,399900,82580,2023,XC60 Recharge T6 Core Edition,Svart 019,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,LINKÖPING,https://rejmes.se/bil/volvo-xc60-recharge-t6-core-edition-cra06x,2026-01-13
KGJ80U,469900,48840,2023,XC60 Recharge T6 Plus Bright,Platinum Grey Metallic731,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,ÅTVIDABERG,https://rejmes.se/bil/volvo-xc60-recharge-t6-plus-bright-kgj80u,2026-01-13
AWA04K,359900,145670,2023,XC60 Recharge T6 Core Edition,Bright Dusk Metallic 736,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,NORRKÖPING,https://rejmes.se/bil/volvo-xc60-recharge-t6-core-edition-awa04k,2026-01-13
RAB29H,399900,96300,2023,XC60 Recharge T6 Core Edition,Svart 019,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,LINDESBERG,https://rejmes.se/bil/volvo-xc60-recharge-t6-core-edition-rab29h,2026-01-13
KNH16W,424900,68850,2023,XC60 Recharge T6 Core Edition,Svart 019,Hybrid el/bensin,Fyrhjulsdrift,Mildhybrid,Automat,252,5 dörrar Herrgårdsvagn,NORRKÖPING,https://rejmes.se/bil/volvo-xc60-recharge-t6-core-edition-knh16w,2026-01-13
RZH977,283000,138100,2018,"XC60 D4 AWD Business Advanced MA 18""",Ice vit 614,Diesel,Fyrhjulsdrift,,Automat,190,5 dörrar Herrgårdsvagn,NORRKÖPING,https://rejmes.se/bil/volvo-xc60-d4-awd-business-advanced-ma-18-rzh977,2026-01-13
EFA26W,299800,132790,2019,XC60 D4 AWD Momentum SE,Onyx Svart Metallic 717,Diesel,Fyrhjulsdrift,,Automat,190,5 dörrar Herrgårdsvagn,LINKÖPING,https://rejmes.se/bil/volvo-xc60-d4-awd-momentum-se-efa26w,2026-01-13
,614900,15530,2025,XC60 T6 Plus Black Nordic Edition,,Hybrid el/bensin,Fyrhjulsdrift,Mildhybrid,,,,NORRKÖPING,https://rejmes.se/bilar/begagnade-bilar/begagnade-volvo/begagnade-volvo-xc60/?brandName=Volvo&modelName=XC60&statusName=Begagnade#,2026-01-13
RHP57F,527900,7330,2025,XC60 T6 Plus Bright Edition,Crystal White Metallic707,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,NORRKÖPING,https://rejmes.se/bil/volvo-xc60-t6-plus-bright-edition-rhp57f,2026-01-13
MAX01F,519900,26450,2024,XC60 Recharge T6 Plus Dark Edition.,Bright Dusk Metallic 736,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,NORRKÖPING,https://rejmes.se/bil/volvo-xc60-recharge-t6-plus-dark-edition-max01f,2026-01-13
GBP46C,499900,15100,2025,XC60 T6 Core Special Edition,Vapour Grey Metallic 740,Hybrid el/bensin,Fyrhjulsdrift,,Automat,252,5 dörrar Herrgårdsvagn,LINKÖPING,https://rejmes.se/bil/volvo-xc60-t6-core-special-edition-gbp46c,2026-01-13
