Reg. Nr,Actual Price,Predicted Price,Discount %,Discount SEK,Year,Mileage (km),HP,Engine,Fuel,Drive,Model Variant
HPT28G,439900,455352,3.4,11685,2023,69720,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
ONT23R,434500,449697,3.4,18779,2024,100660,349.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition |Drag |Kamera |HK |Panorama
YUH821,289500,299527,3.3,5927,2018,138920,254.0,T5,Petrol,AWD,T5 AWD Inscription |Drag |360° |Läder |Elstol |Mörkton
YRF677,349000,361052,3.3,20581,2019,56460,250.0,T5,Petrol,AWD,T5 AWD Momentum SE
CJE15G,485000,501743,3.3,18883,2022,75920,456.0,T8,Plugin Hybrid,AWD,Recharge T8 II R-Design *SE SPEC* STORA BATTERIET
RCH62M,629000,650236,3.3,25333,2026,10,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Nordic Edition
FAR25L,629000,649650,3.2,24649,2026,550,349.0,T6,Plugin Hybrid,AWD,T6 Plus Dark Nordic Edition
ADZ93D,489800,505744,3.2,20167,2022,71410,455.0,T8,Plugin Hybrid,AWD,Recharge T8 II Inscription (SELEKT) SE SPEC
WEJ922,349900,361262,3.1,18211,2019,110510,303.0,T8,Plugin Hybrid,FWD,T8 TE Inscription
ZKJ43P,629900,650287,3.1,24457,2026,0,350.0,T6,Plugin Hybrid,AWD,Ny T6 Plus Bright Nordic Edition
JBN75Z,629900,650287,3.1,24457,2026,0,350.0,T6,Plugin Hybrid,AWD,Ny T6 Plus Dark Nordic Edition
NHX59N,629900,650287,3.1,24457,2026,0,350.0,T6,Plugin Hybrid,AWD,Ny T6 Plus Dark Nordic Edition
ZNA608,629900,650287,3.1,24457,2026,0,350.0,T6,Plugin Hybrid,AWD,Ny T6 Plus Dark Nordic Edition
LWA29Z,384900,397227,3.1,26783,2024,149150,349.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
JAB51G,539500,556775,3.1,20418,2023,46180,455.0,T8,Plugin Hybrid,AWD,Recharge T8 Ultimate Bright
EHM61X,479900,494930,3.0,14536,2024,59570,349.0,T6,Plugin Hybrid,AWD,Recharge T6 II Core Edition
GGJ617,294500,303555,3.0,7011,2018,137030,190.0,B4,Diesel,AWD,Inscription * SUPERDEAL * * SUPERDEAL *
TAD731,319500,329237,3.0,10469,2019,113600,190.0,D4,Diesel,AWD,D4 AWD Momentum SE DRAG/ELSTOL FÖRARE
DKC31A,344500,354957,2.9,20405,2023,168600,252.0,T6,Plugin Hybrid,AWD,Recharge T6 Core Edition
OHU234,309000,318322,2.9,9408,2019,126850,190.0,D4,Diesel,AWD,D4 AWD Momentum Advanced Edition
GRA058,159900,164714,2.9,-19526,2016,177300,190.0,B4,Diesel,FWD,
